역명,엘리베이터(E/V),휠체어리프트(W/L)
서울역(1),4,1
시청(1),3,0
종각,4,0
종로3가(1),3,0
종로5가,3,0
동대문(1),3,0
동묘앞(1),7,0
신설동(1),5,5
제기동,3,0
청량리(1),2,2
시청(2),2,0
을지로입구,4,0
을지로3가(2),2,0
을지로4가(2),3,0
동대문역사문화공원(2),3,0
신당(2),3,0
상왕십리,3,0
왕십리(2),2,0
한양대,2,1
뚝섬,4,0
성수,4,0
용답,2,2
신답,2,0
용두,4,0
신설동(2),2,6
건대입구(2),2,0
구의,2,0
강변,2,0
잠실나루,2,0
잠실(2),4,1
잠실새내,4,0
종합운동장(2),3,0
삼성,5,1
선릉(2),3,0
역삼,4,0
강남(2),4,0
교대(2),3,0
서초,4,0
방배,3,0
사당(2),3,0
낙성대,3,0
서울대입구,3,0
봉천,2,0
신림,3,0
신대방,3,0
구로디지털단지,4,0
대림(2),4,0
신도림(2),4,0
도림천,2,0
양천구청,3,0
신정네거리,3,1
문래,4,0
영등포구청(2),4,0
당산(2),4,0
합정(2),4,0
홍대입구(2),2,0
신촌,4,0
이대,3,0
아현,4,0
충정로(2),2,0
지축,1,0
구파발,2,0
연신내(3),1,0
불광(3),3,0
녹번,3,0
홍제,3,0
무악재,3,0
독립문,2,0
경복궁,2,0
안국,2,0
종로3가(3),2,0
을지로3가(3),2,0
동대입구,3,0
약수(3),2,0
금호,3,0
옥수(3),3,0
압구정,4,0
신사,4,0
잠원,3,0
고속터미널(3),2,1
교대(3),2,1
남부터미널,3,0
양재(3),4,0
매봉,3,0
도곡(3),4,0
대치,2,0
학여울,3,0
대청,3,0
일원,4,0
수서(3),4,0
가락시장(3),3,0
경찰병원,4,0
오금(3),3,0
당고개,3,0
상계,1,2
노원(4),3,0
창동(4),6,4
쌍문,3,0
수유,3,0
미아,3,0
미아사거리,2,0
길음,3,0
성신여대입구(4),4,0
한성대입구,3,0
혜화,4,0
동대문(4),2,0
동대문역사문화공원(4),2,0
충무로(4),4,1
명동,2,0
회현,2,0
서울역(4),2,1
숙대입구,3,0
삼각지(4),5,0
신용산,4,0
이촌(4),5,1
동작(4),2,0
총신대입구(4),4,0
사당(4),2,1
남태령,3,0
방화,3,0
개화산,2,0
김포공항,2,0
송정,4,0
마곡,6,0
발산,3,0
우장산,3,0
화곡,2,0
까치산,2,3
신정,2,0
목동,3,0
오목교,3,0
양평,3,0
영등포구청,4,2
영등포시장,3,0
신길,6,0
여의도,2,0
여의나루,3,0
마포,2,0
공덕,2,0
애오개,5,0
충정로(5),2,0
서대문,3,1
광화문,2,0
종로3가(5),1,1
을지로4가,1,0
동대문역사문화공원(5),2,2
신금호,3,0
행당,3,0
왕십리,3,0
마장,3,0
답십리,4,1
장한평,3,1
군자(5),3,0
아차산,3,0
광나루,4,1
천호(5),4,0
강동,2,2
길동,3,0
굽은다리,3,0
명일,3,0
고덕,4,0
상일동,4,2
강일,8,0
미사,4,0
하남풍산,5,0
하남시청,4,0
하남검단산,4,0
둔촌동,3,0
올림픽공원,3,0
방이,4,0
오금(5),5,0
개롱,3,0
거여,3,0
마천,2,0
역촌,2,0
불광(6),3,2
독바위,2,0
연신내(6),2,0
구산,1,1
응암,2,0
새절,2,1
증산,3,0
디지털미디어시티(6),3,3
월드컵경기장,3,0
마포구청,4,4
망원,2,0
합정(6),3,1
상수,3,0
광흥창,3,1
대흥,2,1
공덕(6),5,1
효창공원앞(6),2,1
삼각지(6),5,2
녹사평,3,0
이태원,2,0
한강진,3,0
버티고개,5,0
약수(6),4,0
청구(6),5,0
신당(6),1,5
동묘앞(6),2,2
창신,3,0
보문(6),1,0
안암,3,0
고려대,4,0
월곡,3,1
상월곡,1,2
돌곶이,3,0
석계(6),4,2
태릉입구(6),4,0
화랑대,4,0
봉화산,2,2
신내,1,0
장암,2,0
도봉산,5,0
수락산,1,2
마들,4,1
노원(7),4,0
중계,3,0
하계,3,0
공릉,3,0
태릉입구(7),2,0
먹골,3,0
중화,3,0
상봉(7),5,0
면목,3,0
사가정,3,0
용마산,3,0
중곡,3,0
군자(7),1,0
어린이대공원,4,0
건대입구(7),2,3
뚝섬유원지,3,0
청담,2,2
강남구청(7),2,1
학동,3,0
논현,3,1
반포,4,1
고속터미널(7),2,4
내방,5,0
이수(7),3,3
남성,4,0
숭실대입구,4,0
상도,3,0
장승배기,3,0
신대방삼거리,4,0
보라매,2,0
신풍,4,0
대림(7),3,1
남구로,0,11
가산디지털단지(7),4,4
철산,4,0
광명사거리,2,1
천왕,4,0
온수(7),3,5
암사,3,0
천호(8),2,0
강동구청,3,0
몽촌토성,4,0
잠실(8),3,3
석촌,3,0
송파,4,0
가락시장(8),6,0
문정,4,0
장지,4,0
복정(8),1,1
남위례,3,0
산성,4,0
남한산성입구,2,0
단대오거리,3,0
신흥,2,0
수진,3,0
모란(8),3,2
언주역,4,0
선정릉역,4,0
삼성중앙역,4,0
봉은사역,4,0
종합운동장역,6,0
삼전역,4,0
석촌고분역,5,0
석촌역,5,0
송파나루역,5,0
한성백제역,3,0
올림픽공원역,3,0
둔촌오륜역,3,0
중앙보훈병원역,5,0
